Commodity,Month,Year,Broker_Code,Broker_Name,Net volume,Net value,Gross volume,Gross volume %,Gross value,Gross value %,Buy volume,Buy volume %,Buy VWAP,Buy value,Buy value %,Sell volume,Sell volume %,Sell VWAP,Sell value,Sell value %,Trades,Trades %
ETPMAG,2,2025,AIEL,Australian Investment Exchange Limited,-22155,-1041984.88,133431,5.93395362985535,6285358.22,5.93170964975293,55638,4.94867477659452,47.120433336928,2621686.67,4.94835252859629,77793,6.91923248311618,47.095131310015,3663671.55,6.91506677072397,258,3.86111942532176
ETPMAG,2,2025,ANDW,CMC Markets Stockbroking Limited,-14038,-664350.16,110230,4.90215698465091,5201889.92,4.90920319182962,48096,4.2778579757556,47.1716957751164,2268769.88,4.2822329994534,62134,5.52645599354621,47.2063610905462,2933120.04,5.53617338408749,457,6.83926967973661
ETPMAG,2,2025,BELL,Bell Potter Securities Limited,895,42385.35,1805,0.0802720979524167,85546.65,0.0807333284035221,1350,0.120074606355415,47.3822222222222,63966.0,0.120733847208443,455,0.0404695895494178,47.43,21580.65,0.0407328096061516,5,0.074827895839569
ETPMAG,2,2025,BRCA,Barclays Capital Asia Limited,-185029,-8736084.99,228011,10.1401226184091,10767571.49,10.1617291292011,21491,1.91149878902536,47.263656879624,1015743.25,1.91718397818383,206520,18.3687464477929,47.2197764865388,9751828.24,18.4062742786622,622,9.30859024244238
ETPMAG,2,2025,BRIG,Bridges Financial Services Pty Ltd,6111,292106.5,16549,0.735968392805841,782328.14,0.738310087489534,11330,1.00773725185693,47.4154739629303,537217.32,1.01398108105257,5219,0.464199533754751,46.96509292968,245110.82,0.462639093978527,57,0.853038012571086
ETPMAG,2,2025,BTIG,BTIG Australia Limited,-150,-7074.0,150,0.00667081146418975,7074.0,0.00667597813738487,0,0.0,0.0,0.0,0.0,150,0.0133416229283795,47.16,7074.0,0.0133519562735097,1,0.0149655791679138
ETPMAG,2,2025,CGAU,Canaccord Genuity Financial Limited,1681,78899.88,2275,0.101173973873545,107107.68,0.101081217136841,1978,0.175931534348898,47.0191001011122,93003.78,0.175541759127155,297,0.0264164133981914,47.4878787878788,14103.9,0.0266206751605814,9,0.134690212511224
ETPMAG,2,2025,COMM,Commonwealth Securities Limited,33811,1626508.69,229677,10.2142130977381,10825549.19,10.2164446872525,131744,11.7178584738429,47.258538832888,6226028.94,11.7514371190523,97933,8.71056772163326,46.9659895030276,4599520.25,8.68145225574247,939,14.0526788386711
ETPMAG,2,2025,FCEX,FinClear Execution Limited,11484,534884.95,65606,2.91763504613089,3092678.21,2.91866724850531,38545,3.42835237182925,47.0562091062395,1813781.58,3.4234566511773,27061,2.40691772043252,47.2597697793873,1278896.63,2.41387784592859,325,4.86381322957198
ETPMAG,2,2025,FNZC,FNZ Custodians (Australia) Pty Ltd,3437,165344.12,74225,3.30093987286323,3492942.54,3.29641052193689,38831,3.45379039954603,47.1052337050295,1829143.33,3.45245147932592,35394,3.14808934618043,47.0079451319433,1663799.21,3.14036956457731,275,4.11553427117629
ETPMAG,2,2025,HRTL,Euroz Hartleys Limited,-648,-30715.2,648,0.0288179055252997,30715.2,0.0289869951491947,0,0.0,0.0,0.0,0.0,648,0.0576358110505994,47.4,30715.2,0.0579739902929183,1,0.0149655791679138
ETPMAG,2,2025,IBRO,Interactive Brokers Australia Pty Ltd,7621,360109.73,10533,0.468424381015404,497828.05,0.469817525866121,9077,0.807346075472671,47.2588839925085,428968.89,0.80966551640614,1456,0.129502686558137,47.2933791208791,68859.16,0.129969535390247,53,0.793175695899431
ETPMAG,2,2025,INSA,Instinet Australia Pty Limited,-1410,-67285.2,1410,0.0627056277633836,67285.2,0.0634993672843608,0,0.0,0.0,0.0,0.0,1410,0.125411255526767,47.72,67285.2,0.126998734556736,1,0.0149655791679138
ETPMAG,2,2025,INTE,Phillip Capital Limited,934,44178.2,934,0.0415369193836882,44178.2,0.0416924932639265,934,0.0830738387673764,47.3,44178.2,0.0833849865357223,0,0.0,0.0,0.0,0.0,1,0.0149655791679138
ETPMAG,2,2025,JPML,J.P. Morgan Securities Australia Limited,1403,67632.67,4597,0.204438135339202,216653.79,0.204463664888546,3000,0.26683245856759,47.3810766666667,142143.23,0.26829095163891,1597,0.142043812110814,46.6565810895429,74510.56,0.140636378150229,27,0.404070637533673
ETPMAG,2,2025,MACE,Macquarie Equities Limited,14010,661660.61,16928,0.752823309772027,798948.91,0.753995682223278,15469,1.37587710052735,47.2108578447217,730304.76,1.37842765390111,1459,0.129769519016705,47.0487662782728,68644.15,0.129563710663308,50,0.74827895839569
ETPMAG,2,2025,MEAL,Macquarie Securities (Australia) Limited,-4429,-209220.62,5087,0.226229452788888,240172.94,0.226659499099724,329,0.029262626289579,47.04,15476.16,0.029210773486124,4758,0.423196279288198,47.2250483396385,224696.78,0.424108224676056,17,0.254414845854535
ETPMAG,2,2025,MERR,Merrill Lynch Equities (Australia) Limited,-2559,-121190.72,24337,1.08231692402657,1143732.74,1.07938009149721,10889,0.968512880447496,46.9529809899899,511271.01,0.965008223172405,13448,1.19612096760565,47.0301702855443,632461.73,1.19375195980043,58,0.868003591739
ETPMAG,2,2025,MORR,Morrison Securities Pty Limited,-2300,-107866.0,2500,0.111180191069829,117160.0,0.110567938729999,100,0.00889441528558633,46.47,4647.0,0.00877106881745978,2400,0.213465966854072,46.8804166666667,112513.0,0.212364808623324,8,0.11972463334331
